table_name,foreign_key_column,referenced_table,referenced_column
tb_cds_atend_domiciliar,co_ad_destino_v20,tb_ad_destino,co_seq_ad_destino
tb_cds_atend_domiciliar,co_sexo,tb_sexo,co_sexo
tb_cds_atend_domiciliar,tp_atend_v20,tb_tipo_atend,co_tipo_atend
tb_cds_atend_domiciliar,tp_atend,tb_tipo_atend,co_tipo_atend
tb_cds_atend_domiciliar,co_ad_destino,tb_ad_destino,co_seq_ad_destino
tb_cds_atend_domiciliar,co_cds_turno,tb_cds_turno,co_cds_turno
tb_cds_atend_domiciliar,co_ad_modalidade,tb_ad_modalidade,co_seq_ad_modalidade
tb_cds_atend_domiciliar,co_ciap,tb_ciap,co_seq_ciap
tb_cds_atend_domiciliar,co_local_atend,tb_local_atend,co_local_atend
tb_cds_atend_domiciliar,co_cds_ficha_atend_domiciliar,tb_cds_ficha_atend_domiciliar,co_seq_cds_ficha_atend_dom
tb_cds_atend_domiciliar,co_cid10,tb_cid10,co_cid10
tb_cds_atend_individual,co_cds_pic,tb_cds_pic,co_cds_pic
tb_cds_atend_individual,co_ad_modalidade,tb_ad_modalidade,co_seq_ad_modalidade
tb_cds_atend_individual,co_cds_aleitamento_materno,tb_cds_aleitamento_materno,co_cds_aleitamento_materno
tb_cds_atend_individual,co_cds_ficha_atend_individual,tb_cds_ficha_atend_individual,co_seq_cds_ficha_atend_indivdl
tb_cds_atend_individual,co_cds_turno,tb_cds_turno,co_cds_turno
tb_cds_atend_individual,co_cid10_2,tb_cid10,co_cid10
tb_cds_atend_individual,co_cid10,tb_cid10,co_cid10
tb_cds_atend_individual,co_local_atend,tb_local_atend,co_local_atend
tb_cds_atend_individual,co_prontuario,tb_prontuario,co_seq_prontuario
tb_cds_atend_individual,co_racionalidade_saude,tb_racionalidade_saude,co_racionalidade_saude
tb_cds_atend_individual,co_sexo,tb_sexo,co_sexo
tb_cds_atend_individual,tp_atend,tb_tipo_atend,co_tipo_atend
tb_cds_atend_odonto,co_cds_turno,tb_cds_turno,co_cds_turno
tb_cds_atend_odonto,co_local_atend,tb_local_atend,co_local_atend
tb_cds_atend_odonto,co_cds_ficha_atend_odonto,tb_cds_ficha_atend_odonto,co_seq_cds_ficha_atend_odonto
tb_cds_atend_odonto,co_sexo,tb_sexo,co_sexo
tb_cds_atend_odonto,tp_atend,tb_tipo_atend,co_tipo_atend
tb_cds_ativ_col_participante,co_cds_ficha_ativ_col,tb_cds_ficha_ativ_col,co_seq_cds_ficha_ativ_col
tb_cds_ativ_col_participante,co_sexo,tb_sexo,co_sexo
tb_cds_ativ_col_pratica,,,
tb_cds_ativ_col_publico_alvo,,,
tb_cds_ativ_col_tema,,,
tb_cds_aval_elegibilidade,co_cid10_segundo,tb_cid10,co_cid10
tb_cds_aval_elegibilidade,co_cid10_principal,tb_cid10,co_cid10
tb_cds_aval_elegibilidade,co_cds_prof_at_compartilhado,tb_cds_prof,co_seq_cds_prof
tb_cds_aval_elegibilidade,tp_logradouro,tb_tipo_logradouro,co_tipo_logradouro
tb_cds_aval_elegibilidade,tp_ad_elegivel,tb_ad_tipo_elegivel,co_ad_tipo_elegivel
tb_cds_aval_elegibilidade,co_sexo,tb_sexo,co_sexo
tb_cds_aval_elegibilidade,co_localidade_origem,tb_localidade,co_localidade
tb_cds_aval_elegibilidade,co_localidade_cidadao,tb_localidade,co_localidade
tb_cds_aval_elegibilidade,co_uf,tb_uf,co_uf
tb_cds_aval_elegibilidade,co_cds_turno,tb_cds_turno,co_cds_turno
tb_cds_aval_elegibilidade,co_pais,tb_pais,co_pais
tb_cds_aval_elegibilidade,co_ad_origem,tb_ad_origem,co_ad_origem
